wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,period,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,actual_o2d_le_5,del_rel,delivered_vol,order_bucket
wave2_aug,58218,"VM MP, LLC IN 46143",Spreetail,Storage & Org - Frequency,Claire Przybocki,2026-08-02,pre,1.0,1678.0,0.0,0.27532777115613827,0.11866428145497913,0.15682766845557544,0.9696066746126341,51.00000000000006,1.159713945172825,0.5125148986889154,3.0568252007411982,2.27913927077107,0.5605247465712582,0.9302741358760429,0.966030989272944,0.9059316956261234,1669.0,all
wave2_aug,58219,"VM MP, LLC GA 31308",Spreetail,Storage & Org - Frequency,Claire Przybocki,2026-08-02,post,1.0,458.0,0.2052401746724891,0.28820960698689957,0.09606986899563319,0.19213973799126638,0.9847161572052402,6.999999999999991,0.6703056768558951,0.5655021834061136,2.8724373576309796,2.0723684210526314,0.49344978165938863,0.9301310043668122,0.9716157205240175,0.8728070175438597,456.0,all
wave2_aug,58219,"VM MP, LLC GA 31308",Spreetail,Storage & Org - Frequency,Claire Przybocki,2026-08-02,pre,1.0,1266.0,0.0,0.3001579778830964,0.13112164296998421,0.16903633491311215,0.9644549763033176,44.99999999999997,1.1856240126382307,0.5015797788309637,2.9482333607230897,2.123320158102767,0.5813586097946287,0.9447077409162717,0.9707740916271722,0.9040444091990484,1261.0,all
wave2_aug,59554,EC EXPORT INC. NJ 08505,EC EXPORT INC. NJ 08831,APS,Ida Li,2026-08-02,post,1.0,469.0,0.24520255863539445,0.23667377398720682,0.10042735042735043,0.13675213675213677,0.9573560767590619,19.999999999999982,1.1705756929637527,0.837953091684435,3.9296703296703295,3.462526766595289,1.0747863247863247,0.8400852878464818,0.8848614072494669,0.8308351177730193,467.0,all
wave2_aug,59554,EC EXPORT INC. NJ 08505,EC EXPORT INC. NJ 08831,APS,Ida Li,2026-08-02,pre,1.0,1685.0,0.0,0.255786350148368,0.12826603325415678,0.12767220902612827,0.973293768545994,45.00000000000006,1.5311572700296736,0.6872403560830861,4.373719107896323,3.6533888228299642,1.1092636579572446,0.8172106824925816,0.8676557863501484,0.8792588164973102,1673.0,all
wave2_aug,62366,Best Choice Products IN 46231,Best Choice Products,Decor,Shannon Hoar,2026-08-02,post,1.0,511.0,0.2896281800391389,0.25440313111545987,0.003913894324853229,0.25048923679060664,0.913894324853229,44.0,1.152641878669276,0.8610567514677103,3.755511022044088,3.551859099804305,0.949119373776908,0.9080234833659491,0.9119373776908023,0.7215686274509804,510.0,all
wave2_aug,62366,Best Choice Products IN 46231,Best Choice Products,Decor,Shannon Hoar,2026-08-02,pre,1.0,1893.0,0.0005282620179609086,0.27892234548335976,0.025912215758857746,0.2533051295610788,0.9862651875330164,25.99999999999996,1.583729529846804,0.6714210248283149,3.9595687331536387,3.4697773064687167,0.810710498409332,0.8748019017432647,0.9144215530903328,0.7985153764581124,1886.0,all
wave2_aug,67894,TwinXLcom MN,Bare Home,Soft Home,Jaiden Lawlor,2026-08-02,post,1.0,1464.0,0.2192622950819672,0.1646174863387978,0.001375515818431912,0.1643741403026135,0.8866120218579235,165.99999999999994,0.8790983606557377,0.6933060109289617,4.742621825669183,4.482425913163335,0.8762035763411279,0.8162568306010929,0.7957650273224044,0.7593103448275862,1450.0,all
wave2_aug,67894,TwinXLcom MN,Bare Home,Soft Home,Jaiden Lawlor,2026-08-02,pre,1.0,3045.0,0.0009852216748768472,0.2686371100164204,0.0013144922773578706,0.2674991784423266,0.9894909688013136,32.0000000000001,1.1832512315270935,0.5195402298850574,5.11805786498171,4.474169134583745,0.7633913900755833,0.7277504105090312,0.8032840722495895,0.8985794516022465,3027.0,all
wave2_aug,79055,Costway NJ 08505,Costway,APS Outdoor,David Liu,2026-08-02,post,1.0,1504.0,0.2466755319148936,0.20944148936170212,0.04263824117255163,0.16722185209860094,0.9148936170212766,128.00000000000003,1.1569148936170213,0.8690159574468085,3.9244264507422404,3.273578595317726,1.0459693537641572,0.8902925531914894,0.9168882978723404,0.882943143812709,1495.0,all
