sto,vol_bucket,vol,ifr,delivery_rel,sto_total,pct_of_sto_vol
APS Pet,aligned,2163,0.9648636153490525,0.8497457235321313,8527,0.25366482936554474
APS Pet,ghost,159,0.8805031446540882,0.7547169811320752,8527,0.018646651811891637
APS Pet,local_wrong_hub,3866,0.9379203310915671,0.9218830832902231,8527,0.4533833704702709
APS Pet,misshipping,615,0.9170731707317069,0.6162601626016254,8527,0.07212384191392049
APS Pet,other_closer,1724,0.8706496519721582,0.881670533642691,8527,0.20218130643837223
APS Rugs,aligned,8255,0.9490006056935191,0.8721986674742573,22137,0.3729050910240773
APS Rugs,ghost,252,0.5912698412698412,0.4722222222222224,22137,0.01138365632199485
APS Rugs,local_wrong_hub,9107,0.9439991215548466,0.8963434720544631,22137,0.41139269096986947
APS Rugs,misshipping,985,0.9685279187817262,0.4974619289340107,22137,0.04449564078240051
APS Rugs,other_closer,3538,0.9519502543810049,0.9016393442622961,22137,0.15982292090165787
APS SEA,aligned,3383,0.9261010937038135,0.791900679869938,7835,0.4317804722399489
APS SEA,ghost,30,0.7333333333333334,0.5333333333333333,7835,0.0038289725590299937
APS SEA,local_wrong_hub,3611,0.961229576294655,0.9221822209914159,7835,0.4608806636885769
APS SEA,misshipping,380,0.8157894736842104,0.22631578947368422,7835,0.048500319081046586
APS SEA,other_closer,431,0.9512761020881672,0.9303944315545244,7835,0.05500957243139758
APS Soft Home,aligned,8087,0.8946457277111434,0.8952640039569668,13646,0.5926278763007474
APS Soft Home,ghost,146,0.8767123287671231,0.47945205479452074,13646,0.010699105965117982
APS Soft Home,local_wrong_hub,3880,0.8974226804123698,0.849484536082475,13646,0.2843324051003957
APS Soft Home,misshipping,858,0.9440559440559432,0.2808857808857807,13646,0.06287556793199472
APS Soft Home,other_closer,675,0.7081481481481482,0.7214814814814813,13646,0.0494650447017441
APS Spa,aligned,173,0.8728323699421965,0.7861271676300574,494,0.35020242914979755
APS Spa,ghost,5,0.4,0.4,494,0.010121457489878543
APS Spa,local_wrong_hub,163,0.9631901840490797,0.8834355828220857,494,0.3299595141700405
APS Spa,misshipping,63,0.9682539682539684,0.523809523809524,494,0.12753036437246965
APS Spa,other_closer,90,1.0,0.9444444444444445,494,0.18218623481781376
APS Upholstery,aligned,16196,0.9612249938256362,0.8542232650037054,52098,0.310875657414872
APS Upholstery,ghost,1804,0.8021064301552109,0.6380266075388034,52098,0.03462704902299513
APS Upholstery,local_wrong_hub,22951,0.9285434185874265,0.9046664633349313,52098,0.44053514530308263
APS Upholstery,misshipping,2378,0.9066442388561812,0.6148023549201012,52098,0.04564474643940267
APS Upholstery,other_closer,8769,0.9146995096362176,0.8991903295700753,52098,0.16831740181964758
APS Wayfair Professional,aligned,773,0.9042690815006463,0.7645536869340235,3910,0.19769820971867008
APS Wayfair Professional,ghost,188,0.909574468085106,0.7234042553191489,3910,0.04808184143222506
APS Wayfair Professional,local_wrong_hub,1636,0.9284841075794619,0.8991442542787291,3910,0.4184143222506394
APS Wayfair Professional,misshipping,437,0.8787185354691077,0.848970251716247,3910,0.11176470588235295
APS Wayfair Professional,other_closer,876,0.9029680365296805,0.8961187214611871,3910,0.22404092071611253
APS Youth,aligned,10402,0.9191501634301101,0.7579311670832528,42475,0.24489699823425545
APS Youth,ghost,478,0.8075313807531384,0.610878661087866,42475,0.011253678634490878
APS Youth,local_wrong_hub,20711,0.8813191057891934,0.8559219738303308,42475,0.4876044732195409
APS Youth,misshipping,2798,0.8999285203716938,0.7162258756254464,42475,0.06587404355503237
APS Youth,other_closer,8086,0.8370022260697491,0.8034875092752899,42475,0.1903708063566804
Appliances,aligned,5042,0.6285204284014283,0.6154303847679496,8119,0.6210124399556596
Appliances,ghost,35,0.6857142857142857,0.5142857142857143,8119,0.0043108757236112825
Appliances,local_wrong_hub,2134,0.8814432989690721,0.8842549203373937,8119,0.26284025126247074
Appliances,misshipping,422,0.6800947867298576,0.6943127962085308,8119,0.05197684443897032
Appliances,other_closer,486,0.8045267489711936,0.8477366255144028,8119,0.05985958861928809
CA Casegoods,aligned,495,0.7555555555555555,0.6868686868686866,1500,0.33
CA Casegoods,local_wrong_hub,792,0.8560606060606061,0.8838383838383832,1500,0.528
CA Casegoods,misshipping,213,0.5164319248826289,0.4507042253521125,1500,0.142
"CA Decor, Outdoor, Upholstery",aligned,1697,0.9033588685916328,0.8426635238656455,2306,0.735906331309627
"CA Decor, Outdoor, Upholstery",local_wrong_hub,608,0.9473684210526321,0.9309210526315796,2306,0.26366001734605377
"CA Decor, Outdoor, Upholstery",misshipping,1,1.0,0.0,2306,0.0004336513443191674
CA Home Improvement,aligned,1013,0.9328726554787764,0.8578479763079958,2005,0.5052369077306733
CA Home Improvement,local_wrong_hub,922,0.8655097613882866,0.8622559652928417,2005,0.4598503740648379
CA Home Improvement,misshipping,70,0.8571428571428572,0.3999999999999999,2005,0.034912718204488775
CA Housewares,aligned,81,0.9012345679012344,0.7160493827160496,477,0.16981132075471697
CA Housewares,local_wrong_hub,396,0.7727272727272722,0.7954545454545455,477,0.8301886792452831
CA Soft Home + Rugs,aligned,2303,0.9353017802865813,0.7798523664785068,2901,0.7938641847638745
CA Soft Home + Rugs,ghost,1,1.0,1.0,2901,0.0003447087211306446
CA Soft Home + Rugs,local_wrong_hub,592,0.9273648648648645,0.9037162162162169,2901,0.2040675629093416
CA Soft Home + Rugs,misshipping,5,0.4,0.2,2901,0.001723543605653223
Cabinetry,aligned,1683,0.9774212715389191,0.8948306595365412,1930,0.872020725388601
