supplier_id,su_name,parent_suid,parent_su_name,sto,vol,ifr,delivery_rel,avg_direct_gain,avg_o2d_stated,avg_o2d_actual,avg_mi_actual_to_cust,avg_mi_assigned_to_cust,pct_constrained,top_assigned_hub,top_actual_hub,pct_of_corridor
414490,WOLTU GmbH_1 CA 91789,218572,WOLTU GmbH_1,Storage & Org - Frequency,1,1.0,1.0,0.9862511031631753,10.0,7.0,29.6,2152.9,1.0,INDUSTRY,North Cincinnati,2.0784835384103757e-05
414492,wuhanbaizhikejiyouxiangongsi CA 92374,247824,wuhanbaizhikejiyouxiangongsi,APS Upholstery,1,1.0,1.0,0.99024279555253,8.0,4.0,17.2,1762.8,1.0,WEST RIALTO,North St.Louis,2.0784835384103757e-05
414525,Quanzhou Ceyueshangmao Youxiangongsi CA 92337,350128,Quanzhou Ceyueshangmao Youxiangongsi,APS K&D,1,1.0,1.0,0.968276060664235,9.0,9.0,66.1,2083.6,1.0,WEST RIALTO,Greenwood,2.0784835384103757e-05
57364,King Electrical Manufacturing Co.,57364,King Electrical Manufacturing Co.,Appliances,1,1.0,1.0,0.9143931019235021,10.0,10.0,193.6,2261.5,0.0,TACOMA,Chicago,2.0784835384103757e-05
414154,"NINGBO JOYS IMP. EXP. CO.,LTD NJ 08505",61691,Gymax LLC,APS Outdoor,1,1.0,1.0,0.9961482203803023,7.0,3.0,7.9,2051.0,1.0,WEST RIALTO,South Bend,2.0784835384103757e-05
414169,"GOODLUX TRADING CO.,LTD. CA 92376",120004,"GOODLUX TRADING CO.,LTD.",APS Home Improvement,1,0.0,0.0,0.9870503597122302,7.0,8.0,25.2,1946.0,1.0,WEST RIALTO,Chicago,2.0784835384103757e-05
414203,"Hefei Maxyoyo Trading Co., Ltd. NJ 08861",67567,"Hefei Maxyoyo Trading Co., Ltd.",APS Upholstery,1,1.0,1.0,0.5655725456990586,7.0,5.0,872.2,2007.7,0.0,SOUTH RIALTO - NCPC,Woodbridge,2.0784835384103757e-05
414205,AetherLight Technology Studio INC IL 60632,410974,AetherLight Technology Studio INC,Wayfair,1,1.0,0.0,0.9893633910144468,7.0,8.0,20.1,1889.7,1.0,WEST RIALTO,Maple Grove,2.0784835384103757e-05
55775,Tradingsmith,55775,Tradingsmith,Decor,1,1.0,1.0,0.9870886869319963,8.0,5.0,20.6,1595.5,1.0,INDUSTRY,Lenexa,2.0784835384103757e-05
55899,Collection by Nouvelle Corp,55899,Collection by Nouvelle Corp,Tabletop,1,1.0,0.0,0.8935785843324027,7.0,8.0,194.4,1826.7,0.0,LOS ANGELES,Champaign,2.0784835384103757e-05
56302,Crosslinks Corp,56302,Crosslinks Corp,Plumbing,1,1.0,1.0,0.9830643027255888,7.0,3.0,32.0,1889.5,1.0,INDUSTRY,St. Paul,2.0784835384103757e-05
54328,FLINT GARDEN INC CA 91761,46805,FLINT GARDEN INC,APS Home Improvement,1,1.0,0.0,0.8477849068133212,7.0,8.0,249.1,1636.5,1.0,CHINO LOCAL,New Brighton Ncpc,2.0784835384103757e-05
313850,SUZHOU WEIBANG DIANZISHANGWU CA 92337,90224,SUZHOU WEIBANG DIANZISHANGWU YOUXIANGONGSI,APS,1,1.0,1.0,0.9827325196328887,10.0,7.0,36.5,2113.8,1.0,WEST RIALTO,South Dayton,2.0784835384103757e-05
417209,shenzhenshijunzhichuangkejiyouxiangongsi  CA 91761,297236,shenzhenshijunzhichuangkejiyouxiangongsi ,APS K&D,1,1.0,1.0,0.9335925962390469,9.0,6.0,134.9,2031.4,1.0,CHINO LOCAL,Northern Kentucky,2.0784835384103757e-05
417350,DEEPSKY FURNITURE INC CA 92374,241579,DEEPSKY FURNITURE INC,Casegoods,1,1.0,1.0,0.9980749746707194,13.0,12.0,3.8,1974.0,1.0,WEST RIALTO,Niles,2.0784835384103757e-05
417444,changzhou brilliant dianzi shangwu youxiangongsi CA 91764,206479,changzhou brilliant dianzi shangwu youxiangongsi,APS Decor,1,1.0,1.0,0.9907197256266707,8.0,7.0,18.4,1982.7,1.0,CHINO LOCAL,Romeoville Rsf,2.0784835384103757e-05
417458,changzhou brilliant dianzi shangwu youxiangongsi CA 90220,206479,changzhou brilliant dianzi shangwu youxiangongsi,APS Decor,1,1.0,1.0,0.9799752908473179,6.0,6.0,38.9,1942.6,1.0,CARSON,Maple Grove,2.0784835384103757e-05
417733,Audio Visual Commodity Ltd AL 92337-8200,208461,Audio Visual Commodity Ltd,APS K&D,1,0.0,1.0,0.9385152431929253,9.0,9.0,132.1,2148.5,1.0,WEST RIALTO,Greenwood,2.0784835384103757e-05
417861,Lucky Kempt Home Inc CA 91761,206262,Lucky Kempt Home Inc,APS Bedroom,1,0.0,0.0,0.9208762886597938,0.0,11.0,153.5,1940.0,1.0,CHINO LOCAL,Chicago,2.0784835384103757e-05
417887,Lingshui Yingzhou hua hua hua Electronic Commerce studio CA 92337,175356,Lingshui Yingzhou hua hua hua Electronic Commerce studio,APS K&D,1,1.0,1.0,0.9062064480163523,12.0,8.0,201.9,2152.6,1.0,WEST RIALTO,Chicago,2.0784835384103757e-05
316865,"Jinbao Trade Import and Export Co., Limited CA 92335",316864,"Jinbao Trade Import and Export Co., Limited",Wayfair,1,1.0,1.0,0.5891687141687142,7.0,3.0,802.6,1953.6,1.0,WEST RIALTO,King Of Prussia,2.0784835384103757e-05
316921,Petal Perfecto Inc CA 91761,288148,Petal Perfecto Inc,Outdoor Structures,1,1.0,1.0,0.9941549192003536,14.0,8.0,11.9,2035.9,1.0,CHINO LOCAL,North  Indianapolis,2.0784835384103757e-05
316928,Petal Perfecto Inc CA 91731,288148,Petal Perfecto Inc,Outdoor Structures,1,1.0,1.0,0.7615125240847784,7.0,6.0,495.1,2076.0,1.0,ARCADIA,Memphis,2.0784835384103757e-05
316655,Aiwen Lighting DE 19720,53835,Aiwen Lighting,APS Home Improvement,1,1.0,1.0,0.7354483248911401,6.0,3.0,595.4,2250.6,0.0,SOUTH RIALTO - NCPC,New Castle,2.0784835384103757e-05
314168,Su Zhou shi nai bu la dian zishangwu CA 92571,303185,Su Zhou shi nai bu la dian zishangwu youxiangongsi,APS Youth,1,1.0,1.0,0.9815092219829604,8.0,7.0,39.5,2136.2,1.0,RIALTO LOCAL,Northern Kentucky,2.0784835384103757e-05
314504,Mirage Capital Corp WA 98072 ,253071,Mirage Capital Corp,Casegoods,1,1.0,1.0,0.9872924963085596,9.0,5.0,28.4,2234.9,0.0,NORTH SEATTLE,Greenwood,2.0784835384103757e-05
