dest_region,sto,vol_direct,vol_local,o2d_direct,o2d_local,o2d_delta,ifr_direct,ifr_local,del_direct,del_local,det_direct,det_local
Midwest,Storage & Org - Frequency,1161,4039,7.484871514967274,6.779699627669944,0.7051718872973298,0.9104220499569334,0.8851200792275316,0.8475452196382431,0.8155484030700666,0.8372093023255813,0.7912849715276058
Midwest,Tabletop,1229,4107,7.449939994546912,6.645302887057435,0.8046371074894774,0.8234336859235148,0.8892135378621864,0.8462164361269324,0.8110542975407841,0.8250610252237593,0.791575359142927
Midwest,Upholstery,2823,8191,7.6184909670563234,7.236585847805455,0.38190511925086845,0.8590152320226707,0.8897570504211941,0.8838115479985827,0.8342082773776096,0.8041091037902939,0.7923330484678306
Midwest,Wayfair,3303,11026,7.452837487805698,7.18781033655494,0.2650271512507576,0.8910081743869213,0.8895338291311445,0.878595216469876,0.8151641574460363,0.8934302149561,0.8204244512969343
Midwest,Youth Furniture & Decor,932,3478,7.212446351931329,6.765180258622083,0.4472660933092465,0.8776824034334761,0.8700402530189765,0.8090128755364807,0.7650948821161587,0.7564377682403433,0.7159286946520987
Mountain,APS,6919,46482,4.612805318687669,4.071524148825928,0.5412811698617412,0.8829310594016475,0.8968633019233254,0.8255528255528253,0.8191127748375718,0.8095100448041622,0.7897465685641754
Mountain,APS AEOF,1863,13867,4.422641464512668,3.903669898901597,0.5189715656110709,0.9006977992485238,0.9147616643830677,0.8293075684380035,0.8214465998413499,0.7944176060118088,0.7871926155621262
Mountain,APS Bedroom,2310,15488,4.44605435644168,3.859057110328553,0.586997246113127,0.9030303030303028,0.8985020661157026,0.8376623376623379,0.83567923553719,0.8082251082251081,0.7906120867768596
Mountain,APS Decor,773,4891,4.9780077619663645,4.205219676675024,0.7727880852913405,0.9042690815006468,0.9292578204866081,0.7723156532988356,0.8147618074013494,0.8137128072445019,0.8366387241872828
Mountain,APS Home Improvement,3555,22728,4.637914485895362,4.019893866380013,0.6180206195153488,0.8796061884669479,0.9018391411474833,0.8261603375527427,0.8343013023583249,0.784247538677919,0.8044702569517775
Mountain,APS Housewares & More,779,5303,4.704749679075738,4.112830770546246,0.5919189085294922,0.9229781771501927,0.9077880445031115,0.8305519897304237,0.8151989439939656,0.8767650834403078,0.8174618140675086
Mountain,APS K&D,1781,12327,4.396111194189175,3.885563036666758,0.5105481575224173,0.9208309938236946,0.9211486979800441,0.8585064570466033,0.8362131905573132,0.8534531162268388,0.8147967875395473
Mountain,APS Mattresses,518,3762,4.594594594594596,3.968650560274481,0.6259440343201148,0.8764478764478765,0.8798511430090378,0.8223938223938225,0.8184476342371079,0.7915057915057917,0.8059542796384902
Mountain,APS Outdoor,4677,25782,4.480436177036556,3.90274703761161,0.5776891394249462,0.899080607226855,0.9276627104181212,0.859311524481505,0.8631991311767901,0.8064998930938638,0.8204949189356916
Mountain,APS Rugs,323,2670,4.6687306501547985,4.136990040714393,0.5317406094404058,0.8699690402476781,0.9086142322097377,0.8142414860681114,0.783895131086142,0.8792569659442725,0.8243445692883895
Mountain,APS Upholstery,1183,7912,4.792899408284025,4.306270220897282,0.4866291873867423,0.8884192730346576,0.8973710819009098,0.8292476754015213,0.814459049544995,0.8233305156382078,0.7817239635995955
Mountain,APS Youth,833,5479,4.5870348139255706,4.145564447803308,0.441470366122263,0.8787515006002399,0.8720569446979376,0.837935174069628,0.805621463770761,0.858343337334934,0.8076291294031758
Mountain,Casegoods,1924,12415,4.714137214137215,4.09820469634538,0.6159325177918342,0.8679833679833678,0.8953685058397097,0.8232848232848233,0.8334273056786146,0.8056133056133057,0.8190898107128474
Mountain,Decor,1196,7631,4.973244147157189,4.235045408299971,0.7381987388572178,0.8954849498327757,0.9192766347791902,0.8110367892976584,0.8287249377538984,0.81438127090301,0.8368496920456034
Mountain,Hardware,364,1785,5.052197802197802,4.370903959780234,0.6812938424175679,0.9038461538461539,0.9159663865546218,0.771978021978022,0.7848739495798319,0.6456043956043955,0.6453781512605042
Mountain,Lighting,1080,6378,5.035185185185186,4.389518660464873,0.6456665247203128,0.8537037037037035,0.8943242395735341,0.7888888888888886,0.8283160865475071,0.7814814814814814,0.8193791157102539
Mountain,Outdoor Furniture,1626,8174,4.702337023370234,4.49164879329455,0.21068823007568405,0.8456334563345632,0.8474431123073158,0.824108241082411,0.7790555419623195,0.7201722017220172,0.7309762662099337
Mountain,Plumbing,477,3079,4.79874213836478,4.175272413089198,0.6234697252755819,0.8972746331236898,0.9304969145826567,0.8322851153039832,0.84865215979214,0.8322851153039833,0.8493017213380967
Mountain,Rugs,650,3424,3.936923076923077,3.2887553742148787,0.6481677027081982,0.9692307692307692,0.9220210280373831,0.8769230769230769,0.8691588785046729,0.7646153846153847,0.8069509345794391
Mountain,Soft Home,693,4655,4.630591630591632,4.295379971499219,0.3352116590924128,0.922077922077922,0.9185821697099893,0.8816738816738815,0.8343716433941998,0.8629148629148626,0.8133190118152521
Mountain,Storage & Org - Frequency,424,2776,4.778301886792452,4.144181336312592,0.6341205504798602,0.8537735849056602,0.8919308357348703,0.8443396226415093,0.8382564841498558,0.8349056603773585,0.8422190201729105
Mountain,Tabletop,403,2628,4.47394540942928,4.0170248906539054,0.4569205187753749,0.8163771712158809,0.875951293759513,0.8436724565756822,0.8359969558599696,0.8014888337468983,0.823820395738204
Mountain,Upholstery,989,6251,5.02123356926188,4.273310026504437,0.7479235427574427,0.8281092012133471,0.8998560230363143,0.8281092012133466,0.8373060310350345,0.8129423660262891,0.823068309070549
Mountain,Wayfair,1748,11189,4.867549927189515,4.311560731877823,0.5559891953116916,0.8867276887871853,0.9032978818482438,0.8243707093821508,0.8175887031906335,0.8661327231121282,0.8264366788810439
Mountain,Youth Furniture & Decor,403,2590,4.400437314202885,4.124717729368892,0.2757195848339933,0.8660049627791563,0.8861003861003861,0.8362282878411911,0.8216216216216217,0.806451612903226,0.7942084942084942
Northeast,APS,6155,22211,7.886661251015428,7.314116601660944,0.5725446493544846,0.8435418359057675,0.9055422988609247,0.8833468724614137,0.8040160280941874,0.7491470349309501,0.7435054702624829
Northeast,APS AEOF,473,3594,7.1345137420718805,7.128670256359994,0.005843485711886309,0.8689217758985199,0.8970506399554812,0.8541226215644822,0.8116304952698943,0.828752642706131,0.7740678909293267
Northeast,APS Bedroom,625,3622,7.332886486486485,6.929478789937227,0.4034076965492579,0.9199999999999998,0.8937051352843731,0.8736,0.8097736057426833,0.8464,0.7785753727222529
Northeast,APS Decor,523,1958,7.357552581261951,7.324857432002933,0.03269514925901795,0.8891013384321224,0.8810010214504594,0.8852772466539196,0.8140960163432073,0.8604206500956024,0.8013278855975483
Northeast,APS Home Improvement,2096,10473,7.559637404580153,7.109903755968232,0.4497336486119208,0.8893129770992367,0.8977370380979663,0.8692748091603055,0.8151437028549605,0.8416030534351144,0.7789554091473314
Northeast,APS Housewares & More,604,3039,7.599337748344371,7.152359717244234,0.44697803110013634,0.9337748344370861,0.914116485686081,0.8874172185430463,0.8288910825929582,0.9072847682119205,0.8078315235274761
Northeast,APS K&D,425,3150,7.468235294117645,7.041912813543053,0.42632248057459154,0.908235294117647,0.9142857142857143,0.9035294117647056,0.8085714285714286,0.8705882352941176,0.7946031746031746
Northeast,APS Mattresses,432,1991,7.3217592592592595,6.969787243907155,0.35197201535210443,0.8634259259259259,0.8603716725263687,0.8587962962962962,0.7985936715218481,0.8564814814814815,0.7699648417880463
Northeast,APS Outdoor,2578,10034,7.425135764158264,6.972380977175728,0.4527547869825357,0.878200155159038,0.9149890372732711,0.8836307214895268,0.8374526609527604,0.8254460822342898,0.7919075144508668
Northeast,APS Upholstery,847,4847,7.58913813459268,7.305401273218435,0.28373686137424503,0.910271546635183,0.9030328037961622,0.8878394332939787,0.8335052609861769,0.8146399055489963,0.7678976686610275
Northeast,APS Youth,775,3065,7.58967741935484,7.253527253491497,0.33615016586334256,0.9135483870967742,0.8564437194127243,0.8890322580645161,0.7827079934747145,0.8761290322580645,0.7761827079934747
Northeast,Casegoods,1491,5637,7.604292421193827,7.360928313243283,0.2433641079505442,0.8625083836351439,0.8807876530069184,0.8423876592890679,0.7775412453432679,0.7981220657276992,0.7676068830938443
Northeast,Decor,1594,4911,7.9142918642857945,7.5295268655291885,0.38476499875660597,0.8996235884567126,0.9191610669924659,0.8663739021329987,0.8055385868458562,0.8356336260978672,0.7925066177967828
Northeast,Hardware,341,1122,7.214076246334311,6.7436828203205685,0.4703934260137421,0.9325513196480938,0.9117647058823529,0.844574780058651,0.7103386809269162,0.8005865102639295,0.6737967914438503
Northeast,Kitchen & Small Electrics,481,1541,7.272349272349272,6.519893539296524,0.7524557330527486,0.8877338877338875,0.9195327709279688,0.8586278586278585,0.8046722907203114,0.7879417879417879,0.7761194029850746
Northeast,Lighting,2118,6031,7.657223796033995,7.2035464293883305,0.4536773666456648,0.8857412653446648,0.9063173603050904,0.8687440982058546,0.8194329298623777,0.7979225684608123,0.7884264632730891
Northeast,Outdoor Furniture,2043,5553,7.7719040626529585,8.202950621981257,-0.4310465593282986,0.8492413117963779,0.8622366288492707,0.8316201664219287,0.7725553754727175,0.8105726872246695,0.7460831982712047
Northeast,Outdoor Structures,393,1488,7.989821882951654,7.227467926557258,0.7623539563943957,0.8625954198473281,0.905241935483871,0.8931297709923665,0.8521505376344084,0.8524173027989819,0.8259408602150538
Northeast,Plumbing,1048,2699,8.023701818867215,7.475296270198036,0.5484055486691792,0.9141221374045804,0.9373842163764358,0.8759541984732828,0.8151167098925528,0.801526717557252,0.7939977769544275
Northeast,Soft Home,1478,4725,7.46887686062246,7.41644796804008,0.05242889258238037,0.9106901217861976,0.9043386243386241,0.8626522327469552,0.776084656084656,0.7895805142083897,0.7174603174603177
Northeast,Storage & Org - Frequency,934,2896,7.680942184154177,7.1198390715428195,0.5611031126113577,0.9261241970021413,0.8895027624309392,0.8725910064239828,0.8204419889502762,0.830835117773019,0.773135359116022
Northeast,Tabletop,698,2680,7.3810888252149,6.93218630438521,0.44890252082968995,0.8839541547277935,0.8742537313432835,0.8681948424068768,0.8373134328358207,0.835243553008596,0.8052238805970149
Northeast,Upholstery,1615,4584,7.929805797917253,7.606329854503398,0.32347594341385477,0.8179566563467492,0.8987783595113438,0.8835913312693495,0.8215532286212914,0.7684210526315788,0.7955933682373474
Northeast,Wayfair,1824,6484,7.713770102339179,7.549799075933996,0.16397102640518302,0.8804824561403505,0.8854102405922271,0.8854166666666665,0.8200185070943863,0.8887061403508769,0.8089142504626776
