supplier_id,su_name,parent_suid,parent_su_name,sto,vol_peak,ifr_peak,delivery_rel_peak,o2d_stated_peak,o2d_actual_peak,o2d_gap_peak,gain_peak,mi_to_cust_peak,top_actual_hub_peak,vol_july4,ifr_july4,delivery_rel_july4,o2d_stated_july4,o2d_actual_july4,o2d_gap_july4,gain_july4,mi_to_cust_july4,top_actual_hub_july4,vol_july5,ifr_july5,delivery_rel_july5,o2d_stated_july5,o2d_actual_july5,o2d_gap_july5,gain_july5,mi_to_cust_july5,top_actual_hub_july5,ifr_delta_july4_vs_peak,del_delta_july4_vs_peak,o2d_actual_delta_july4_vs_peak,built_july4,built_july5
53301,Decalgeek,53301,Decalgeek,Decor,5.0,1.0,1.0,9.0,7.0,-2.0,0.9545178633368019,104.9,Columbus,,,,,,,,,,,,,,,,,,,,,,False,False
443555,Hall CodePulse Dynamics LLC CA 91731,362965,Hall CodePulse Dynamics LLC,Lighting,5.0,1.0,1.0,17.4,7.4,-9.999999999999998,0.9862406369119707,28.199999999999996,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
445473,JPARO TECHNOLOGY LLC CA 92336,295243,JPARO TECHNOLOGY LLC,Casegoods,5.0,1.0,1.0,12.0,9.2,-2.8000000000000007,0.9882448851916632,23.96,West Columbus,,,,,,,,,,,,,,,,,,,,,,False,False
454713,"Shenzhen Heibai Gezi Technology Co., Ltd._1 CA 94579",450932,"Shenzhen Heibai Gezi Technology Co., Ltd._1",Wayfair,5.0,1.0,0.8,8.6,7.6,-1.0,0.9537953319944069,99.03999999999999,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
46230,Coaster CA- 90670-4062,999,Coaster,Casegoods,5.0,1.0,0.8,7.2,6.4,-0.7999999999999998,0.9594581403711437,91.62,Toledo,,,,,,,,,,,,,,,,,,,,,,False,False
356514,"Guangzhou Jingrui Network Technology Co., Ltd. CA 91762",87298,"Guangzhou Jingrui Network Technology Co., Ltd.",APS Decor,5.0,1.0,1.0,8.6,6.6,-2.0,0.9790117399865979,40.1,Cedar Rapids,,,,,,,,,,,,,,,,,,,,,,False,False
356738,5 Oaks Furniture CA 91710,46556,5 Oaks Furniture,Lighting,5.0,1.0,1.0,11.4,7.2,-4.2,0.9570542938308682,86.26,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
192736,Hangzhou Heyushan Network Technology Co CA 91761,77915,Hangzhou Heyushan Network Technology Co. Ltd,Youth Furniture & Decor,5.0,1.0,1.0,8.8,7.2,-1.6000000000000005,0.9773695258586816,46.58,Ann Arbor,,,,,,,,,,,,,,,,,,,,,,False,False
199558,"Jay Franco and Sons, Inc. CA 91710",17988,"Jay Franco and Sons, Inc.",Soft Home,5.0,1.0,0.8,8.0,7.0,-1.0,0.9882368292107859,25.419999999999998,Northern Kentucky,,,,,,,,,,,,,,,,,,,,,,False,False
239943,Home capest INC CA 92571,80189,Home capest INC,Outdoor Furniture,5.0,1.0,1.0,8.8,8.2,-0.6000000000000014,0.965977541555222,75.52000000000001,Columbus,,,,,,,,,,,,,,,,,,,,,,False,False
38250,Top Fabric,38250,Top Fabric,PG Textiles,5.0,1.0,1.0,10.4,7.8,-2.6000000000000005,0.9728149078011299,52.14,Lenexa Local,,,,,,,,,,,,,,,,,,,,,,False,False
39808,Sirio North America Inc. CA95776,13728,Sirio North America Inc.,Outdoor Furniture,5.0,0.8,0.8,8.4,9.0,0.5999999999999996,0.957675952191682,91.44000000000001,Northern Kentucky,,,,,,,,,,,,,,,,,,,,,,False,False
